NIT;ID_CLIENTE_ONYX;NOMBRE_CLIENTE;ID_ATENCION_ONYX;ATENCION;PRIORIDAD_ATENCION;ESTADO_ATENCION;ORIGEN_ATENCION;DESCRIPCION;RESUMEN;RESOLUCION_1;RESOLUCION_2;RESOLUCION_3;RESOLUCION_4;USUARIO_INSERTADO;GRUPO_INSERTADO;USUARIO_ASIGNADO;GRUPO_ASIGNADO;USUARIO_SOLUCION;GRUPO_SOLUCION;USUARIO_CERRADO;GRUPO_CERRADO;ID_ENLACE;SERVICIO;PRODUCTO;FAMILIA;FECHA_CREACION;FECHA_INGRESO_ESTADO;DT_AJUSTADO;MAYOR_INCIDENT;GRUPO_OBJETIVO;SEGMENTO;CIUDAD;PALABRA_CLAVE;NIT_SIN_COD_Calc;SISTEMA_Calc;Consecutivo_Calc;Clasif_Por_Servicio_Calc;Clasif_Por_Cliente_Calc;SLA_Calc;Reclasificacion_atencion_Calc;Tiempo_Horas_SLA_Calc;Cumplimiento_Calc;Nueva_Prioridad_Calc;Meta_Individual_Calc;Meta_Presidencia_Calc;Meta_IFI_Calc;3G_Calc;TMX_Minutos_Calc;TMX_Calc;Reincidencia_Calc;Recurrencia_Calc;RESPONSABILIDAD;LLAVE_GENERAL_Calc;LLAVE_Reincidencia_Calc;Reclasificacion_Reinc_Calc;FCR;Cluster_Actual_Calc;Celula_Comercial_Calc;Clasif_Por_IVR_Calc;TIPO TICKET;DT_CONCILIADO;CONTACTO DESTINO;TICKET_CARRIER;ALIAS ENLACE;FECHA_SOLUCION;TIEMPO INCIDENTE;RANGO HORA;TICKET_MAXIMO;REGIONAL;DIRECTOR;PN;G_SEGMENTO;G_Clasif_Por_IVR_Calc;NODO;Agrupacion_Especiales;Interno / Externo;VENDOR;Numero_CUN;TIPOSERVICIO;SUBTIPO
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1665917;Incident;1 - Critical;Closed;3 - Evento;RRC0071 + SER-16436 + SER-16436 AZTECA  + CAIDA DATOS  + PASTO TUQUERRES ALKOSTO;;incident;Rendimiento;Intermitencia;Carrier/Vendor - FO;ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rrc0071;Empresas ? Intranet;;Resolved Successfully;28/07/2022;28/07/2022;0,103333333;;;ESTRATEGICA;Tocancip ;rrc0071_a9kortezal_gigabitethernet0/1/0/0.50369;860032909;SM;40525;Empresas;CE;4;Incidente;0,103333333;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Claro;IM1665917rrc0071;rrc0071incidentRendimientoIntermitenciaCarrier/Vendor - FO;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;2,613611111;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1665886;Incident;1 - Critical;Closed;3 - Evento;RRO0269 +ZAC-BUC.PA?RAUCO-CP + CAIDA DATOS -  BUCARAMANGA PANORAMA CENTRO;;incident;failure;No Hay Navegaci¢n;Hardware - Da¤ado (Cliente);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rro0269;Empresas ? Intranet;;Resolved Successfully;28/07/2022;28/07/2022;0,125833333;;;ESTRATEGICA;Bucaramanga;rro0269_a9kbucaramanga_tengige0/0/0/2.9991023;860032909;SM;40524;Empresas;CE;4;Incidente;0,125833333;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1665886rro0269;rro0269incidentfailureNo Hay Navegaci¢nHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;3;1069713349;;;;;;;R5. ORIENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1665429;Incident;1 - Critical;Closed;3 - Evento;"RRO0403+ SW ZAC-SAN.BA?RRANCA-CP1 + PUERTO 	onu-1/1/2:1?3 + CAÖDA + BARRANCABERMEJA  + 	A9KBUCARAM?ANGA + RRO0403 - BARRANCABERMEJA TORCOROMA";;incident;failure;Conectividad Limitada;Hardware - Da¤ado (Cliente);ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rro0403;Empresas ? Intranet;;Resolved Successfully;27/07/2022;28/07/2022;0,113055556;;;ESTRATEGICA;Barrancabermeja;rro0403_zac-san.barranca-cp1_gpon-onu_1/2/2:13;860032909;SM;40523;Empresas;CE;4;Incidente;0,113055556;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1665429rro0403;rro0403incidentfailureConectividad LimitadaHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;1;1069713349;;;;;;;R5. ORIENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos GPON
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1664685;Incident;1 - Critical;Closed;3 - Evento;RRO0387 + ZAC-CAL.ORIENTE-CP1 +gpon_onu-1/1/1:42 + CAIDA DATOS  + CALI MERCATODO FLORESTA;;incident;Administrativo;legal / decisi¢n corporativa;Administrativo - legal / decisi¢n corporativa (Ca¡da);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rro0387;Empresas ? Intranet;;Resolved Successfully;27/07/2022;27/07/2022;0,060555556;;;ESTRATEGICA;Cali;rro0387_aag-calicentro-c1_4/1/20:1121;860032909;SM;40522;Empresas;CE;4;Incidente;0,060555556;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Cliente;IM1664685rro0387;rro0387incidentAdministrativolegal / decisi¢n corporativaAdministrativo - legal / decisi¢n corporativa (Ca¡da);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;1,6;1069713349;;;;;;;R3. OCCIDENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Nodos Alcatel
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1663819;Incident;1 - Critical;Closed;3 - Evento;RRO0484  + SW ZAC-BAR.WT?C?PON-CP2 + PUERTO gpon_onu-1/3/1?5:2 + CAÖDA + BARRANQUILLA + A9KBQWTC + RRO0484 - BARRANQUILLA EURO ROSALES;;incident;failure;Conectividad Limitada;Fibra - Ruptura;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;RRO0484;Empresas ? Intranet;;Resolved Successfully;26/07/2022;27/07/2022;3,905833333;;;ESTRATEGICA;Barranquilla;;860032909;SM;40521;Empresas;CE;4;Incidente;3,905833333;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Claro;IM1663819RRO0484;RRO0484incidentfailureConectividad LimitadaFibra - Ruptura;Incidente;No Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;17,66666667;1069713349;INC6869598;;;;;INC6869598;R1. COSTA;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1663442;Incident;1 - Critical;Closed;3 - Evento;CRT0016 + AAC-BUC.CE?NTRO2-M1 + 1/1/4 +CAIDA DATOS  + BUCARAMANGA SEDE ADMINISTRATIVA BACKUP;;incident;failure;No Hay Navegaci¢n;Hardware - Desconectado/Mal Conectado (Servicio Caido);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;CRT0016;Empresas ? Intranet;;Resolved Successfully;26/07/2022;26/07/2022;0,127777778;;;ESTRATEGICA;Bucaramanga;;860032909;SM;40520;Empresas;CE;4;Incidente;0,127777778;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1663442CRT0016;CRT0016incidentfailureNo Hay Navegaci¢nHardware - Desconectado/Mal Conectado (Servicio Caido);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;0,5;1069713349;;;;;;;R5. ORIENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1663219;Incident;1 - Critical;Closed;3 - Evento;RRO0477 + ZAC-ANT.RIONEGRO-CP1 + 1//1/1:9+ CAIDA DATOS +RIONEGRO EURO JARDINES;;incident;failure;No Hay Navegaci¢n;Hardware - Desconectado/Mal Conectado (Servicio Caido);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;RRO0477;Empresas ? Intranet;;Resolved Successfully;26/07/2022;27/07/2022;2,875833333;;;ESTRATEGICA;Rionegro;;860032909;SM;40519;Empresas;CE;4;Incidente;2,875833333;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Cliente;IM1663219RRO0477;RRO0477incidentfailureNo Hay Navegaci¢nHardware - Desconectado/Mal Conectado (Servicio Caido);Incidente;No Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;25,5;1069713349;INC6863821;;;;;INC6863821;R2. NORTE;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1662958;Incident;1 - Critical;Closed;3 - Evento;RRC0023 + MBQCENTRO +Fa1/27 + CAIDA DATOS +  BARRANQUILLA STO21;;incident;failure;No Hay Navegaci¢n;Hardware - Da¤ado (Cliente);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;RRC0023;Empresas ? Intranet;;Resolved Successfully;26/07/2022;26/07/2022;0,0775;;;ESTRATEGICA;Tocancip ;rrc0023_a9kbqwtc_gigabitethernet0/1/0/3.315;860032909;SM;40517;Empresas;CE;4;Incidente;0,0775;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1662958rrc0023;rrc0023incidentfailureNo Hay Navegaci¢nHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;0,833333333;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1662846;Incident;1 - Critical;Closed;3 - Evento;ACR0394 + ZAC-BAR.WTCPON.CP2 + gpon_onu-1/1/11:5 + CAIDA DATOS + BARRANQUILLA STO 052 TORRES METRO;;incident;failure;No Hay Navegaci¢n;Hardware - Da¤ado (Cliente);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;acr0394;Empresas ? Intranet;;Resolved Successfully;26/07/2022;26/07/2022;0,080277778;;;ESTRATEGICA;Tocancip ;acr0394_a9kbqwtc_gigabitethernet0/0/0/1.1420;860032909;SM;40516;Empresas;CE;4;Incidente;0,080277778;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1662846acr0394;acr0394incidentfailureNo Hay Navegaci¢nHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;1;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1662371;Incident;1 - Critical;Closed;3 - Evento;ACR0358  + SW ZAC-STA.SA?NTAMARTA-C?P1 + PUERTO gpon-onu_1/2/3:1?4 + CAÖDA + SANTAMARTA+ A1KSANTAMARTA + ACR0358 - SANTA MARTA SUPERTIENDA OLIMPICA 208;;incident;failure;Conectividad Limitada;Fibra - atenuada;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;acr0424;Empresas ? Intranet;;Resolved Successfully;25/07/2022;26/07/2022;0,013333333;;;ESTRATEGICA;Tocancip ;acr0358_aag-sta.santa_marta-c1_1/1/4:251;860032909;SM;40515;Empresas;CE;4;Incidente;0,013333333;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1662371acr0424;acr0424incidentfailureConectividad LimitadaFibra - atenuada;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;15;1069713349;;;;;;INC6860794;R4. CENTRO;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;Nodos Alcatel
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1662371;Incident;1 - Critical;Closed;3 - Evento;ACR0358  + SW ZAC-STA.SA?NTAMARTA-C?P1 + PUERTO gpon-onu_1/2/3:1?4 + CAÖDA + SANTAMARTA+ A1KSANTAMARTA + ACR0358 - SANTA MARTA SUPERTIENDA OLIMPICA 208;;incident;failure;Conectividad Limitada;Fibra - atenuada;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;acr0358;Empresas ? Intranet;;Resolved Successfully;25/07/2022;26/07/2022;0,013333333;;;ESTRATEGICA;Tocancip ;acr0358_aag-sta.santa_marta-c1_1/1/4:251;860032909;SM;40514;Empresas;CE;4;Incidente;0,013333333;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1662371acr0358;acr0358incidentfailureConectividad LimitadaFibra - atenuada;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;15;1069713349;;;;;;INC6860794;R4. CENTRO;Roberto Lazcano;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;PLANTA EXTERNA;No Tiene;;Nodos Alcatel
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1662278;Incident;2 - High;Closed;3 - Evento;"RRO0452 + SW ZAC-BOY.SO?GAMOSO_HOG-C?P + PUERTO 	gei-1/13/3 + ca¡da + SOGAMOSO + A9KTUNJA + RRO0452 - SOGAMOSO ALMACENES PARAISO -";;incident;failure;Conectividad Limitada;Instalaciones - Energ¡a;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rro0452;Empresas ? Intranet;;Diagnosed Successfully;25/07/2022;25/07/2022;0,109166667;;;ESTRATEGICA;Sogamoso;rro0452_a9ktunja_gigabitethernet0/0/0/2.2207;860032909;SM;40513;Empresas;CE;6;Incidente;0,109166667;Cumple;Prioridad 2;;;;NO;0;;No Aplica;NO;Cliente;IM1662278rro0452;rro0452incidentfailureConectividad LimitadaInstalaciones - Energ¡a;Cliente Energ¡a;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;2,265277778;1069713349;;;;;;;R5. ORIENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1662231;Incident;1 - Critical;Closed;3 - Evento;RRO0395 + SW HAC-BOG.KE?N?NEDY-CP1  + PUERTO GPON ONU 0/1/8 11 + CAÖDA + BOGOTA + A9KORTEZAL2 + RRO0395 - BOGOTµ LIDER LAURELES;;incident;failure;Conectividad Limitada;Fibra - Ruptura;ECF7044B;;ECF7044B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rro0395;Empresas ? Intranet;;Resolved Successfully;25/07/2022;25/07/2022;0,131944444;;;ESTRATEGICA;Bogot ;rro0395_hac-bog.kennedy-cp1_0/14/0:11;860032909;SM;40512;Empresas;CE;4;Incidente;0,131944444;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1662231rro0395;rro0395incidentfailureConectividad LimitadaFibra - Ruptura;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;5,653055556;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos GPON
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1661658;Incident;1 - Critical;Closed;3 - Evento;RRM0101 + MBARRANQUI?LLA + FA4/39+ CAIDA DATOS +  BARRANQUILLA OLIMPICA STO;;incident;failure;No Hay Navegaci¢n;Hardware - Desconectado/Mal Conectado;ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF7044B;EYN - NOC Clientes Especiales;Saul Gomez Vargas;EYN - NOC Clientes Especiales;rrm0101;Empresas ? Intranet;;Resolved Successfully;25/07/2022;25/07/2022;0,0425;;;ESTRATEGICA;Tocancip ;rrm0101_a9kbqwtc_gigabitethernet0/1/0/4.142;860032909;SM;40510;Empresas;CE;4;Incidente;0,0425;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1661658rrm0101;rrm0101incidentfailureNo Hay Navegaci¢nHardware - Desconectado/Mal Conectado;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;7,225277778;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1661163;Incident;1 - Critical;Closed;3 - Evento;"RRO0469 - BARRANQUILLA BERSHKA BUENAVISTA	BARRANQUILLA;	ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO	24/07/2022 20:54:58";;incident;failure;Conectividad Limitada;Fibra - atenuada;EC7297S;;EC0476F;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rro0469;Empresas ? Intranet;;Resolved Successfully;24/07/2022;25/07/2022;0,02;;;ESTRATEGICA;Barranquilla;rro0469;860032909;SM;40507;Empresas;CE;4;Incidente;0,02;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1661163rro0469;rro0469incidentfailureConectividad LimitadaFibra - atenuada;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;7;1069713349;;;;;;;R1. COSTA;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;MPLS TRANSACCIONAL
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1660817;Incident;1 - Critical;Closed;3 - Evento;"RRM0166 + 	SER-168402 - TELMEX COLOMBIA SA ? 830053800 + SER-168402 + CAIDA DATOS +  TUMACO MERCA Z TUMACO";;incident;failure;No Hay Navegaci¢n;Carrier/Vendor - FO;ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rrm0166;Empresas ? Intranet;;Resolved Successfully;24/07/2022;24/07/2022;0,061111111;;;ESTRATEGICA;Tocancip ;;860032909;SM;40505;Empresas;CE;4;Incidente;0,061111111;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Claro;IM1660817RRM0166;RRM0166incidentfailureNo Hay Navegaci¢nCarrier/Vendor - FO;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;2;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;errormsg;NO AVAL;Externo;;No Tiene;;
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1660262;Incident;1 - Critical;Closed;3 - Evento;CRT0011  RRO0332+ SW ZAC-VIL.VI?LLAVICENCI?O-CP1 + PUERTO 1/12/43 + CAÖDA DE ENLACE + VILLAVIVENCIO + CISCO;;incident;failure;No Hay Navegaci¢n;Hardware - Da¤ado (Cliente);EC4508U;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;CRT0011;Empresas ? Extranet;;Resolved Successfully;23/07/2022;26/07/2022;0,031388889;;;ESTRATEGICA;Villavicencio;CRT0011;860032909;SM;40501;Empresas;CE;4;Incidente;0,031388889;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Cliente;IM1660262CRT0011;CRT0011incidentfailureNo Hay Navegaci¢nHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;8;860032909-0;;;;;;;R5. ORIENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;MPLS EXTRANET DOCMESTIC
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1659984;Incident;1 - Critical;Closed;3 - Evento;RRM0074 +AAC-CAL.PLAZATOROS-C1 +2/1/7 + CAIDA DATOS CALI GRANCOLOMBIACALDAS;;incident;failure;No Hay Navegaci¢n;Fibra - atenuada;ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rrm0074;Empresas ? Intranet;;Resolved Successfully;23/07/2022;23/07/2022;0,040277778;;;ESTRATEGICA;Tocancip ;rrm0074_aac-cal.plazatoros-c1_2/1/7;860032909;SM;40500;Empresas;CE;4;Incidente;0,040277778;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1659984rrm0074;rrm0074incidentfailureNo Hay Navegaci¢nFibra - atenuada;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;1;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Nodos Alcatel
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1659955;Incident;1 - Critical;Closed;3 - Evento;RRM0106 + MSANTAMART?A + Fa3/0/46 + CAIDA DATOS  +SANTA MARTA STO 202 RODADERO;;incident;failure;No Hay Navegaci¢n;Fibra - atenuada;ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rrm0106;Empresas ? Intranet;;Resolved Successfully;23/07/2022;23/07/2022;0,058611111;;;ESTRATEGICA;Tocancip ;rrm0106_a1ksantamarta_gigabitethernet0/0/2.178;860032909;SM;40499;Empresas;CE;4;Incidente;0,058611111;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Claro;IM1659955rrm0106;rrm0106incidentfailureNo Hay Navegaci¢nFibra - atenuada;Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;2;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1659900;Incident;1 - Critical;Closed;3 - Evento;RRO0256 - NEIVA LA14NEIVA -;;incident;failure;Sistema No Disponible;Hardware - Da¤ado (Cliente);EC4508U;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;RRO0256;Empresas ? Intranet;;Resolved Successfully;23/07/2022;23/07/2022;0,015;;;ESTRATEGICA;Neiva;RRO0256;860032909;SM;40498;Empresas;CE;4;Incidente;0,015;Cumple;Prioridad 1;;;;NO;0;;NO;SI;Cliente;IM1659900RRO0256;RRO0256incidentfailureSistema No DisponibleHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;2,5;1069713349;;;;;;;R3. OCCIDENTE;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;MPLS TRANSACCIONAL
860032909-7;13302970;ASOCIACION GREMIAL DE INSTITUCIONES FINANCIERAS CREDIBANCO;IM1659641;Incident;1 - Critical;Closed;3 - Evento;RRM0059 + MPASTO + Fa1/0/16+ CAIDA DATOS +PASTO ALKOSTO CENTRO;;incident;failure;No Hay Navegaci¢n;Hardware - Da¤ado (Cliente);ECF3856B;;ECF3856B;EYN - NOC Clientes Especiales;ECF3856B;EYN - NOC Clientes Especiales;Nestor Osvaldo Vasquez Castro;EYN - NOC Clientes Especiales;rrm0059;Empresas ? Intranet;;Resolved Successfully;22/07/2022;22/07/2022;0,038611111;;;ESTRATEGICA;Tocancip ;rrm0059_a9kpasto_gigabitethernet0/0/0/5.115;860032909;SM;40497;Empresas;CE;4;Incidente;0,038611111;Cumple;Prioridad 1;;;;NO;0;;NO;NO;Cliente;IM1659641rrm0059;rrm0059incidentfailureNo Hay Navegaci¢nHardware - Da¤ado (Cliente);Incidente;Cumple;CLUSTER A;CELULA 05;CE - CREDIBANCO;;0,166666667;1069713349;;;;;;;R4. CENTRO;Mario Cifuentes;1er nivel;Empresas;EMP NOC REMOTO;probsol;NO AVAL;Externo;;No Tiene;;Puertos MPLS
